# CLUSTER  dG
1dma1sa  -834.3384969333781
1dma2sa  -1533.816094709454
1dma3sa  -2233.281315560659
1dma4sa  -2932.739375583385
1dma5sa  -3632.196437931686
2dma     -269.730529890837
2dma1sa  -969.210750521316
2dma2sa  -1668.7073346289096
2dma3sa  -2368.182424336348
2dma4sa  -3067.644425959522
3dma     -404.592576671737
3dma1sa  -1104.085893514369
3dma2sa  -1803.5879240656132
3dma3sa  -2503.077681600346
3dma4sa  -3202.544445187403
4dma     -539.460928788597
4dma1sa  -1238.9531704737828
4dma2sa  -1938.4638578438694
4dma3sa  -2637.960431202703
4dma4sa  -3337.4444081356874
5dma4sa  -3472.329748732248
