#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2am           -113.05443954815236 -113.01981585146721 0.0001161284477113507 
2w            -152.8084914351091  -152.77587329214128 0.00010940178758276483
3am           -169.58126544111155 -169.54121518509044 0.00013432921690798597
2ma           -191.58342023788575 -191.54317291537365 0.00013499018115750743
1am1dma       -191.59028336523858 -191.54917780504508 0.00013786872444573441
4am           -226.10613172150894 -226.0592261479585  0.00015732206456629653
3w            -229.21470268478998 -229.1773885580121  0.00012515219445873949
2dma          -270.1253236951206  -270.0791085798596  0.00015500625611600195
3ma           -287.37646540098746 -287.3258491588012  0.00016976770815441247
4w            -305.62472964115625 -305.582058916221   0.0001431183127125702 
5w            -382.0301616761366  -381.98048024084545 0.00016663235046497936
4ma           -383.168006442932   -383.1074629268152  0.00020306394806910753
6w            -458.43386197821235 -458.3797814288903  0.00018138705122278218
7w            -534.841461058867   -534.7841681689877  0.0001921612942457869 
2put          -537.9077503366153  -537.8497955748003  0.0001943812235957009 
4dma          -540.2519820880173  -540.1799319228235  0.00024165743818142335
8w            -611.254056653461   -611.1943874612972  0.00020013145116151563
9w            -687.6594973993544  -687.5938972756592  0.0002200238929909032 
1am1sa        -756.6576010039547  -756.6165491535418  0.00013768858095915216
10w           -764.0664080429665  -763.996901520298   0.00023312601934737573
1sa1w         -776.5252873488872  -776.4846035563282  0.0001364541088679995 
1ma1sa        -795.926620654882   -795.8821375279041  0.00014919713894969542
3put          -806.8566695309786  -806.7795167248308  0.0002587717798011896 
2am1sa        -813.1969810611963  -813.1486104177088  0.00016223593321324463
1dma1sa       -835.203302260324   -835.1551420907017  0.0001615300004101127 
1sa2w         -852.935548792834   -852.88943172115    0.0001546774163472946 
3am1sa        -869.7301574338929  -869.6770706729541  0.00017805386865281814
1sa1tma       -874.4770844328294  -874.4275472236658  0.00016614861366302902
1bda1sa       -890.5361952737512  -890.4880799967427  0.00016137942984555673
1eda1sa       -890.536195274792   -890.4880799967528  0.0001613794333025267 
2ma1sa        -891.7299898836987  -891.6770434934747  0.00017758306296842711
1am1dma1sa    -891.7389586771468  -891.6861268706471  0.00017719874727415162
4am1sa        -926.2633642124605  -926.2047783446761  0.00019649796338859764
1sa3w         -929.3444375164989  -929.2946522559384  0.00016698058212469107
1mda1sa       -929.8121600405277  -929.7604736315739  0.0001733570650806886 
1pda1sa       -929.8215943106405  -929.7714069491972  0.00016832923509424403
2am1dma1sa    -948.2674870009863  -948.2092951589741  0.00019517639447340845
1diAAmda1sa   -969.0794165556194  -969.0251435811512  0.00018203244832558694
1diABmda1sa   -969.0813875771639  -969.0263692271656  0.0001845324501034457 
1put1sa       -969.1033990916335  -969.0508944087658  0.00017610156923616543
2dma1sa       -970.2742974864785  -970.2154385364913  0.00019741388558512746
3ma1sa        -987.5342499694357  -987.4717239569434  0.00020971327349437837
1sa4w         -1005.7544553879146 -1005.697700683784  0.0001903562103997773 
1sa1triAABmda -1008.352935635624  -1008.2951852058424 0.00019369589059742146
1am2dma1sa    -1026.8106294703414 -1026.7466898175046 0.00021445464644256302
1sa1teAABBmda -1047.6211014700114 -1047.5607615144368 0.00020238120266480533
1sa2tma       -1048.8212382529803 -1048.7590667319855 0.00020852430318526013
4put          -1075.8119917779911 -1075.7180258233766 0.00031516335607723614
1sa5w         -1082.1632647995948 -1082.1048037907535 0.0001960791844415798 
4ma1sa        -1083.331968438953  -1083.260952204126  0.0002381896187391658 
3dma1sa       -1105.3487595663412 -1105.2781128520116 0.00023695024091712396
1sa6w         -1158.5736754814789 -1158.5093817938055 0.0002156420851029716 
1sa7w         -1234.9819463253398 -1234.913723629902  0.00022882004171625252
2put1sa       -1238.0696101513415 -1238.0004921368115 0.00023182295666582814
4dma1sa       -1240.4183740878655 -1240.3379173401536 0.0002698532541064489 
1sa8w         -1311.3901464662947 -1311.3183249096182 0.00024089068145735984
1sa9w         -1387.8007963904004 -1387.7244212087614 0.000256163614418285  
2sa           -1400.238541690085  -1400.1893314349732 0.00016505200439964634
1am2sa        -1456.795848726261  -1456.7423554807376 0.00017941722462968667
1sa10w        -1464.2091049474827 -1464.1285906182159 0.0002700463835882866 
2sa1w         -1476.6509224766542 -1476.596929172455  0.00018109442964692069
1ma2sa        -1496.0694975508268 -1496.0124075285778 0.00019148087287972125
