#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2am    -112.92083443979438 -112.8862107431092  0.0001161284477113507 
3am    -169.37739617842155 -169.33734592240043 0.00013432921690798597
4am    -225.83267193491494 -225.78576636136447 0.00015732206456629653
2am1sa -812.3943053801993  -812.3459347367118  0.00016223593321324463
3am1sa -868.8555374072068  -868.8024506462682  0.00017805386865281814
4am1sa -925.3200250139806  -925.261439146196   0.00019649796338859764
1am2sa -1455.3986112096043 -1455.3451179640804 0.00017941722462968667
3am2sa -1568.3424261664582 -1568.2782613777485 0.00021520975585990714
4am2sa -1624.8086173615395 -1624.7387611009874 0.0002342990459580185 
1am3sa -2154.8622792361316 -2154.7946052274606 0.00022697973728379728
2am3sa -2211.3461529089705 -2211.274069755125  0.00024176808265978107
4am3sa -2324.299559609541  -2324.2211315928166 0.00026304885703130426
1am4sa -2854.3236672219114 -2854.2451886808517 0.0002632183164841522 
2am4sa -2910.8128707504907 -2910.730451298999  0.00027643619484063974
3am4sa -2967.2980497704025 -2967.2112775359105 0.0002910355005622271 
5am4sa -3080.2492247522364 -3080.154192694828  0.00031873908237065913
1am5sa -3553.782366813936  -3553.6907254385974 0.0003073666789824588 
2am5sa -3610.270902081885  -3610.174586090619  0.0003230454176300309 
3am5sa -3666.7718468599846 -3666.671633059041  0.0003361187353460382 
4am5sa -3723.24853512912   -3723.1425457648675 0.0003554900696040203 
5am5sa -3779.740734108004  -3779.629767283573  0.00037218455284517953
