# CLUSTER  dG
1dma1msa1sa  -1497.8951303874342
1dma1msa2sa  -2197.3572341957893
1dma1msa3sa  -2896.818958577979
1dma2msa1sa  -2161.4358116786266
1dma2msa2sa  -2860.898128952349
1dma3msa1sa  -2824.9721708900165
2dma1msa1sa  -1632.7863616418852
2dma1msa2sa  -2332.2583840172388
2dma1msa3sa  -3031.7272362692215
2dma2msa1sa  -2296.3330261795036
2dma2msa2sa  -2995.80136018798
2dma3msa1sa  -2959.8734940220447
3dma1msa1sa  -1767.6574072788094
3dma1msa2sa  -2467.1548758506824
3dma1msa3sa  -3166.630133798475
3dma2msa1sa  -2431.2279275944757
3dma2msa2sa  -3130.700740743856
3dma3msa1sa  -3094.772551775373
4dma1msa3sa  -3301.522227956058
4dma2msa2sa  -3265.596014995663
4dma3msa1sa  -3229.6655838817555
